GEOCODE,LEGDIST22,LEGDIST22NAME,P00010001,RANK_POP,POPDEN,H00010001,H00010002,H00010003,OCC,VAC,LANDSQMI,AREASQMI,WATERPCT,P00010002,P00010003,P00010004,P00010005,P00010006,P00010007,P00010008,P00010009,P00020001,P00020002,P00020003,P00020004,P00020005,P00020006,P00020007,P00020008,P00020009,P00020010,P00020011,P00030001,P00030002,P00030003,P00030004,P00030005,P00030006,P00030007,P00030008,P00030009,P00040001,P00040002,P00040003,P00040004,P00040005,P00040006,P00040007,P00040008,P00040009,P00040010,P00040011,C0010001,C0010002,C0010003,C0010004,C0010005,C0010006,C0020001,C0020002,C0020003,C0020004,C0020005,C0020006,C0030001,C0030002,C0030003,C0030004,C0030005,C0030006,C0040001,C0040002,C0040003,C0040004,C0040005,C0040006,P00010010,P00010011,P00010012,P00010013,P00010014,P00010015,P00010016,P00010017,P00010018,P00010019,P00010020,P00010021,P00010022,P00010023,P00010024,P00010025,T0050001,P00050001,P00050002,P00050003,P00050004,P00050005,P00050006,P00050007,P00050008,P00050009,P00050010
5301,1,District 01,157201,14,3049.06,62681,60108,2573,95.9,4.1,51.55727826,54.09641782,4.693729577,140185,103671,3615,831,25994,407,5667,17016,157201,13413,143788,132316,100994,3498,557,25822,389,1056,11472,122252,111972,84216,2640,662,20001,339,4114,10280,122252,8987,113265,106504,82471,2586,438,19902,327,780,6761,119827,5916,3804,31910,1331,12923,111848,5440,2902,31260,1183,3444,93935,3826,2795,22866,904,9020,88791,3575,2152,22588,846,2511,15659,1398,2105,4659,314,6369,90,145,18,122,52,15,60,185,105,22,1357,932,131,0,10,121,0,801,216,0,585
5302,2,District 02,157197,15,181.74,57140,54130,3010,94.73,5.27,864.9711531,878.0111286,1.485172004,137317,111321,6897,2595,7479,2923,6102,19880,157197,16694,140503,126478,106686,6589,2122,7241,2829,1011,14025,117684,106095,86784,5128,1797,6151,2046,4189,11589,117684,10288,107396,99221,84050,4965,1473,5988,1999,746,8175,129403,11522,7819,13185,4883,12553,119334,10479,6507,12320,4546,2865,97371,7141,5262,9056,3006,8481,91457,6692,4459,8651,2846,2145,17816,2698,3899,3457,560,5515,139,372,162,216,68,54,80,494,76,26,2064,520,162,0,3,159,0,358,0,0,358
5303,3,District 03,156591,47,3847.51,69541,65416,4125,94.07,5.93,40.6992793,41.31996249,1.50213879,141455,125555,4183,2859,3943,1313,3602,15136,156591,10932,145659,134402,121928,4015,2460,3864,1284,851,11257,125230,115474,103209,3067,2248,3253,815,2882,9756,125230,7455,117775,110429,100792,2994,1978,3187,800,678,7346,140033,7471,7753,7001,2113,8764,132715,6912,6648,6631,1994,2949,112528,4624,5663,5023,1298,6589,107818,4388,5047,4829,1240,2298,13860,2269,3858,2256,329,4516,150,47,32,108,31,20,59,109,51,25,1276,7339,1523,631,44,837,11,5816,2595,0,3221
5304,4,District 04,157051,26,396.53,65492,62391,3101,95.27,4.73,396.0678239,398.664151,0.651256723,144083,132928,2219,1758,2854,857,3467,12968,157051,9816,147235,137739,129864,2115,1425,2776,829,730,9496,121889,113900,105586,1620,1347,2307,558,2482,7989,121889,6201,115688,109741,103751,1556,1108,2259,538,529,5947,145437,4485,6122,5164,1477,8398,139042,4097,5194,4896,1380,2797,113278,2578,4290,3540,902,5754,109481,2413,3764,3413,847,2014,11995,1565,3564,1680,260,4485,96,49,16,59,30,17,44,94,30,6,973,1846,1161,0,43,1111,7,685,0,0,685
5305,5,District 05,157291,11,358.63,58347,56128,2219,96.2,3.8,438.5933213,446.2651927,1.719128352,141147,110770,2688,937,22289,328,4135,16144,157291,11519,145772,134591,108082,2583,715,22146,300,765,11181,116388,107385,85603,1860,666,16166,235,2855,9003,116388,7221,109167,103083,83959,1800,523,16075,212,514,6084,126156,5080,4056,27804,1200,10554,118735,4588,3356,27202,1071,2862,94164,3007,2807,18483,724,6966,89724,2748,2358,18216,653,1991,14880,1536,2368,4285,283,5686,51,132,22,103,36,7,57,195,109,10,1264,609,387,36,92,253,6,222,0,0,222
5306,6,District 06,158883,5,388.73,62308,59638,2670,95.71,4.29,408.7180659,413.9373063,1.260877026,143845,127434,3644,2808,4476,1953,3530,15038,158883,10751,148132,137119,124149,3458,2423,4405,1923,761,11013,122031,112694,100652,2725,2143,3522,1149,2503,9337,122031,6984,115047,108236,98641,2615,1863,3466,1127,524,6811,141702,6497,7838,7443,2788,8889,134585,5909,6823,7039,2657,2912,109483,3960,5459,5226,1653,6248,105054,3674,4842,5014,1581,2089,13902,1879,4103,2098,296,4797,166,77,38,98,46,20,59,175,35,15,1136,5751,3385,2254,38,1068,25,2366,1181,556,629
5307,7,District 07,156945,38,11.16,76427,62249,14178,81.45,18.55,14068.86203,14338.81083,1.882644257,142309,117838,598,10236,1052,212,12373,14636,156945,22860,134085,126056,113938,548,9494,1005,200,871,8029,122702,113101,95901,445,7147,854,140,8614,9601,122702,14763,107939,102358,93649,405,6683,821,135,665,5581,132024,1588,15497,2357,655,20432,121767,1330,14061,2128,523,2819,105238,899,10722,1558,412,13943,99110,772,9921,1457,339,2196,13822,509,4449,846,165,7454,49,26,14,45,46,6,150,40,12,11,814,2474,768,160,38,541,29,1706,0,0,1706
5308,8,District 08,157039,27,2005.27,59907,57588,2319,96.13,3.87,78.31309025,84.1787267,6.968074564,138392,110727,2438,1372,5904,399,17552,18647,157039,37041,119998,112352,102474,2197,727,5758,350,846,7646,114878,103762,84866,1708,1000,4604,245,11339,11116,114878,22419,92459,87774,80253,1614,578,4546,217,566,4685,128743,4320,4933,8475,942,29368,109876,3604,3359,7950,838,2470,95578,2491,3381,5860,545,18668,84766,2247,2465,5658,490,1752,17638,1307,2688,1948,235,10847,47,29,22,129,18,2,178,66,109,13,1009,1094,714,286,19,409,0,380,0,0,380
5309,9,District 09,159099,2,15.65,67434,60750,6684,90.09,9.91,10164.08468,10253.25167,0.869645921,145294,129538,2707,1740,5460,371,5478,13805,159099,13613,145486,136616,126172,2592,1391,5384,338,739,8870,128003,118355,105517,2250,1359,4773,298,4158,9648,128003,9727,118276,112013,103190,2164,1109,4714,274,562,6263,142663,4476,5706,8479,1175,11604,134568,4084,4770,8144,1048,2469,114627,3300,4279,6769,869,8554,109076,3067,3648,6569,796,1852,12763,1051,3187,2106,243,5551,90,65,25,70,39,17,60,202,45,12,1042,12040,3301,2500,7,773,21,8739,8046,0,693
5310,10,District 10,157012,30,394.99,70674,62528,8146,88.47,11.53,397.5115495,782.4246282,49.19490835,141262,123616,3030,2453,5518,674,5971,15750,157012,15050,141962,131476,119689,2843,1986,5368,634,956,10486,126071,116024,102449,2352,1814,4695,504,4210,10047,126071,9742,116329,109555,100035,2241,1480,4602,478,719,6774,138541,5356,6838,9105,1592,12689,129626,4774,5667,8583,1428,3161,111925,3453,4919,6644,1069,8818,106414,3165,4177,6384,984,2387,14539,1412,3490,2555,346,5956,81,120,19,125,37,13,102,189,77,17,1211,2518,702,177,42,471,12,1816,7,1410,399
